104012/02/11 Outdoors15%                                                        
202010/07/11 Golf     7%                                                        
103009/22/11 Shoes   10%                                                        
103009/22/11 Clothes 10%                                                        
202007/08/11 Clothes 15%                                                        
203007/08/11 Clothes 25%                                                        
301004/21/11 Golf    15%                                                        
104004/21/11 Golf    15%                                                        
203004/21/11 Golf    15%                                                        
301008/26/11 Clothes 25%                                                        
203006/25/11 Outdoors20%                                                        
104006/25/11 Outdoors20%                                                        
102006/25/11 Outdoors20%                                                        
103006/25/11 Outdoors20%                                                        
202004/02/11 Shoes   25%                                                        
203004/02/11 Shoes   25%                                                        
104005/17/11 Clothes 15%                                                        
203005/17/11 Clothes 15%                                                        
301005/17/11 Clothes 15%                                                        
