Customer_ID  Employee_ID  Street_ID   Order_Date Delivery_Date  Order_ID     Order_Type  Product_ID    Quantity  Total_Retail_Price  CostPrice_Per_Unit  Discount  Shipping  Profit
63           121039       9260125492  11JAN2005  11JAN2005      1230058123   1           220101300017  1         $16.50              $7.45               .         $6.95     9.05
5            99999999     9260114570  15JAN2005  19JAN2005      1230080101   2           230100500026  1         $247.50             $109.55             .         $24.75    137.95
45           99999999     9260104847  20JAN2005  22JAN2005      1230106883   2           240600100080  1         $28.30              $8.55               .         $6.95     19.75
41           120174       1600101527  28JAN2005  28JAN2005      1230147441   1           240600100010  2         $32.00              $6.50               .         $8.95     19.00
183          120134       1600100760  27FEB2005  27FEB2005      1230315085   1           240200200039  3         $63.60              $8.80               .         $10.95    37.20
79           99999999     9260101874  02MAR2005  03MAR2005      1230333319   2           240100400005  1         $234.60             $115.95             .         $23.46    118.65
23           99999999     9260126679  03MAR2005  08MAR2005      1230338566   2           240800200062  1         $35.40              $16.15              .         $8.95     19.25
23           99999999     9260126679  03MAR2005  08MAR2005      1230338566   2           240800200063  2         $73.80              $16.85              .         $10.95    40.10
45           99999999     9260104847  09MAR2005  11MAR2005      1230371142   2           240500100004  2         $127.00             $28.00              .         $15.95    71.00
45           99999999     9260104847  09MAR2005  11MAR2005      1230371142   2           240500200003  1         $23.20              $11.10              .         $6.95     12.10
56           121059       9260111871  15MAR2005  15MAR2005      1230404278   1           220200300002  2         $75.00              $17.05              .         $10.95    40.90
183          120149       1600100760  22MAR2005  22MAR2005      1230440481   1           230100600005  1         $129.80             $63.20              .         $15.95    66.60
16           99999999     3940105865  24MAR2005  26MAR2005      1230450371   2           230100600018  2         $128.40             $32.20              .         $15.95    64.00
79           99999999     9260101874  24MAR2005  25MAR2005      1230453723   2           240500200056  1         $24.10              $11.55              .         $6.95     12.55
183          120134       1600100760  25MAR2005  25MAR2005      1230455630   1           240200100233  2         $91.80              $22.45              .         $12.95    46.90
2788         99999999     9050100001  28MAR2005  30MAR2005      1230478006   2           230100100025  2         $60.60              $13.15              .         $10.95    34.30
20           121066       9260118934  01APR2005  01APR2005      1230498538   1           230100300006  1         $68.50              $34.35              .         $10.95    34.15
70046        99999999     2600100017  02APR2005  03APR2005      1230500669   3           240200100131  2         $148.60             $41.35              .         $15.95    65.90
12386        99999999     4750100001  02APR2005  03APR2005      1230503155   2           220101400310  1         $31.80              $14.20              .         $8.95     17.60
23           99999999     9260126679  18APR2005  23APR2005      1230591673   2           220200200024  3         $178.50             $32.25              .         $17.95    81.75
36           99999999     9260128237  18APR2005  20APR2005      1230591675   3           240500100039  1         $34.50              $15.40              .         $8.95     19.10
79           121045       9260101874  18APR2005  18APR2005      1230591684   1           240200100076  4         $1,796.00           $246.55             .         $179.60   809.80
61           99999999     3940108887  24APR2005  29APR2005      1230619748   2           220200100092  1         $83.00              $41.60              .         $10.95    41.40
61           99999999     3940108887  24APR2005  29APR2005      1230619748   2           220200300005  3         $345.00             $52.35              .         $34.50    187.95
